name,addressline1,addressline2,addressline3,addressline4,services,phone,fax
1. SOSTENA,Ukmergės pl. 280,"LT-02188, Vilnius, Vilniaus apskritis",,,"DACIA  AUTOMOBILIŲ PARDAVIMAS,DACIA DETALĖS IR AUTOSERVISAS",(8-5) 249 0880,
2. LAUTRA MOTORS,J. Kubiliaus g. 23,"LT-09108, Vilnius, Vilniaus apskritis",,,"DACIA  AUTOMOBILIŲ PARDAVIMAS,DACIA DETALĖS IR AUTOSERVISAS",(8-5) 274 7050,
3. SOSTENA,Savanorių pr. 443a,"LT- 49185, Kaunas, Kauno apskritis",,,"DACIA  AUTOMOBILIŲ PARDAVIMAS,DACIA DETALĖS IR AUTOSERVISAS",(8-37) 490 440,
4. SOSTENA,Šilutės pl. 32,"LT- 99000, Klaipėda, Klaipėdos apskritis",,,"DACIA  AUTOMOBILIŲ PARDAVIMAS,DACIA DETALĖS IR AUTOSERVISAS",(8-46) 342 690,
5. ALKESTA,Naujoji g. 118,"LT-62175, Alytus, Alytaus apskritis",,,"DACIA  AUTOMOBILIŲ PARDAVIMAS,DACIA DETALĖS IR AUTOSERVISAS",(8-315) 77 418,
6. SOSTENA,Klaipėdos g. 153A,"LT-37386, Panevėžys, Panevėžio apskritis",,,"DACIA  AUTOMOBILIŲ PARDAVIMAS,DACIA DETALĖS IR AUTOSERVISAS",(8-45) 598 075,
7. SOSTENA,Karaliaučiaus g. 35,"LT-78140, Šiauliai, Šiaulių apskritis",,,"DACIA  AUTOMOBILIŲ PARDAVIMAS,DACIA DETALĖS IR AUTOSERVISAS",(8-41) 453 399,
